lemma,roleset_id,role,description
detach,detach.01,ARG0,"entity removing, agent"
detach,detach.01,ARG1,thing removed
detach,detach.01,ARG2,"whole, source"
detail,detail.01,ARG0,describer
detail,detail.01,ARG1,details
detain,detain.01,ARG0,"police, etc."
detain,detain.01,ARG1,entity detained
detain,detain.01,ARG2,detained for what?
detect,detect.01,ARG0,detector
detect,detect.01,ARG1,detected
detect,detect.01,ARG2,"instrument, if separate from arg0"
deter,deter.01,ARG0,"agent, deterer"
deter,deter.01,ARG1,"patient, entity deterred"
deter,deter.01,ARG2,secondary action (deter from X)
deter,deter.01,ARG3,"instrument, if separate from arg0"
deteriorate,deteriorate.01,ARG0,causer
deteriorate,deteriorate.01,ARG1,entity deteriorating
deteriorate,deteriorate.01,ARG2,endstate
determine,determine.01,ARG0,decider
determine,determine.01,ARG1,thing determined
determine,determine.01,ARG2,grounds
determine,determine.01,ARG3,attribute of arg1
detest,detest.01,ARG0,experiencer
detest,detest.01,ARG1,target or hatred
dethrone,dethrone.01,ARG0,"usurper, revolutionary force, agent"
dethrone,dethrone.01,ARG1,king
dethrone,dethrone.01,ARG2,"kingdom, role"
detract,detract.01,ARG0,"causer of diversion, agent"
detract,detract.01,ARG1,entity detracted
detract,detract.01,ARG2,entity detracted from
devalue,devalue.01,ARG0,"causer of lower value, agent"
devalue,devalue.01,ARG1,thing with lower value
devastate,devastate.01,ARG0,destroyer
devastate,devastate.01,ARG1,thing destroyed
devastate,devastate.01,ARG2,instrument of destruction
develop,develop.01,ARG1,non-intentional theme
develop,develop.01,ARG2,thing developed
develop,develop.02,ARG0,creator
develop,develop.02,ARG1,thing created
develop,develop.02,ARG2,source
develop,develop.02,ARG3,benefactive
develop,develop.02,ARG4,"attribute, secondary predication"
deviate,deviate.01,ARG0,entity in motion
deviate,deviate.01,ARG1,path
devise,devise.01,ARG0,deviser
devise,devise.01,ARG1,thing dreamed up
devise,devise.01,ARG2,secondary predication on arg1
devote,devote.01,ARG0,causer of devotion
devote,devote.01,ARG1,thing devoted
devote,devote.01,ARG2,devoted to
devour,devour.01,ARG0,eater
devour,devour.01,ARG1,thing eaten
diagnose,diagnose.01,ARG0,doctor
diagnose,diagnose.01,ARG1,patient
diagnose,diagnose.01,ARG2,illness
diagram,diagram.01,ARG0,"diagrammer, agent"
diagram,diagram.01,ARG1,entity diagrammed
dial,dial.01,ARG0,"entity dialing, agent"
dial,dial.01,ARG1,dialed number
dicker,dicker.01,ARG0,first arguer
dicker,dicker.01,ARG1,second arguer
dicker,dicker.01,ARG2,topic
dictate,dictate.01,ARG0,"dictator, agent"
dictate,dictate.01,ARG1,entity dictated
die,die.01,ARG1,the deceased
die,die.01,ARG2,cognate object
die,die.02,ARG1,thing subsiding
differ,differ.01,ARG0,first arguer
differ,differ.01,ARG1,second arguer
differ,differ.01,ARG2,topic
differ,differ.02,ARG1,things that are different
differ,differ.02,ARG2,"EXT or MNR, how different"
differentiate,differentiate.01,ARG0,causer of difference
differentiate,differentiate.01,ARG1,different thing(s)
differentiate,differentiate.01,ARG2,"instrument, when separate from arg0"
dig,dig.01,ARG0,"digger, agent"
dig,dig.01,ARG1,entity removed
dig,dig.01,ARG2,instrument
dig_up,dig.02,ARG0,"digger, agent"
dig_up,dig.02,ARG1,entity turned up
dig_out,dig.03,ARG0,"digger, agent"
dig_out,dig.03,ARG1,entity removed
digest,digest.01,ARG0,eater
digest,digest.01,ARG1,nutrients
dignify,dignify.01,ARG0,giver of worth
dignify,dignify.01,ARG1,recipient
dignify,dignify.01,ARG2,how
dilute,dilute.01,ARG0,causal agent
dilute,dilute.01,ARG1,thing weakening
dilute,dilute.01,ARG2,EXT
dilute,dilute.01,ARG3,start point
dilute,dilute.01,ARG4,end point
dilute,dilute.01,ARG5,instrument
diminish,diminish.01,ARG0,"causer of smallness, agent"
diminish,diminish.01,ARG1,thing becoming smaller
diminish,diminish.01,ARG2,EXT
diminish,diminish.01,ARG3,start point
diminish,diminish.01,ARG4,end point
din,din.01,ARG0,"eater, diner"
din_out,din.02,ARG0,"eater, diner"
dine,dine.01,ARG0,"eater, diner"
dine_out,dine.02,ARG0,"eater, diner"
dip,dip.01,ARG1,thing falling
dip,dip.01,ARG2,EXT
dip,dip.01,ARG3,start point
dip,dip.01,ARG4,end point
dip,dip.02,ARG0,"agent, dipper"
dip,dip.02,ARG1,thing dipped
dip,dip.02,ARG2,dipped into
direct,direct.01,ARG0,director
direct,direct.01,ARG1,thing directed
direct,direct.01,ARG2,"direction, towards what"
disable,disable.01,ARG0,disabler
disable,disable.01,ARG1,thing not working
disagree,disagree.01,ARG0,first arguer
disagree,disagree.01,ARG1,second arguer
disagree,disagree.01,ARG2,topic
disallow,disallow.01,ARG0,"entity to set boundaries, agent"
disallow,disallow.01,ARG1,forbidden action or thing
disappear,disappear.01,ARG0,causal agent
disappear,disappear.01,ARG1,the disappeared
disappoint,disappoint.01,ARG0,disappointer
disappoint,disappoint.01,ARG1,disappointed
disappoint,disappoint.01,ARG2,instrument
disapprove,disapprove.01,ARG0,disapprover
disapprove,disapprove.01,ARG1,thing disapproved
disarm,disarm.01,ARG0,"entity removing weapons, agent"
disarm,disarm.01,ARG1,entity disarmed
disassemble,disassemble.01,ARG0,"entity taking apart, agent"
disassemble,disassemble.01,ARG1,entity disassembled
disassociate,disassociate.01,ARG0,"causer of non-association, agent"
disassociate,disassociate.01,ARG1,thing not associated
disassociate,disassociate.01,ARG2,separated from
disavow,disavow.01,ARG0,disavower
disavow,disavow.01,ARG1,thing disavowed
disband,disband.01,ARG0,"causer of not-together-ness, agent"
disband,disband.01,ARG1,thing coming apart
disburse,disburse.01,ARG0,bursar
disburse,disburse.01,ARG1,money
disburse,disburse.01,ARG2,recipient
disburse,disburse.01,ARG3,source of money
discard,discard.01,ARG0,"discarder, remover"
discard,discard.01,ARG1,thing discarded
discard,discard.01,ARG2,"removed from, source"
discern,discern.01,ARG0,perceiver
discern,discern.01,ARG1,entity perceived
discharge,discharge.01,ARG0,supplier
discharge,discharge.01,ARG1,supply
discipline,discipline.01,ARG0,discipliner
discipline,discipline.01,ARG1,disciplined
discipline,discipline.01,ARG2,cause
disclaim,disclaim.01,ARG0,"agent, non-claimer"
disclaim,disclaim.01,ARG1,"topic, thing not claimed"
disclose,disclose.01,ARG0,Sayer
disclose,disclose.01,ARG1,Utterance
disclose,disclose.01,ARG2,Hearer
disclose,disclose.01,ARG3,Attributive
discolor,discolor.01,ARG0,causer of bad color
discolor,discolor.01,ARG1,thing discolored
discolor,discolor.01,ARG2,bad color
discomfit,discomfit.01,ARG0,causer
discomfit,discomfit.01,ARG1,discomforted entity
disconnect,disconnect.01,ARG0,entity causing separation
disconnect,disconnect.01,ARG1,thing being divided
disconnect,disconnect.01,ARG2,"divided among/between, if separate from arg0"
discontinue,discontinue.01,ARG0,"entity ending something, agent"
discontinue,discontinue.01,ARG1,thing discontinued
discount,discount.01,ARG0,discounter
discount,discount.01,ARG1,commodity
discount,discount.01,ARG2,"EXT, amount of reduction"
discount,discount.01,ARG3,start point
discount,discount.01,ARG4,end point
discount,discount.02,ARG0,identifier
discount,discount.02,ARG1,unimportant thing
discount,discount.02,ARG2,secondary attribute
discourage,discourage.01,ARG0,"entity removing confidence, agent"
discourage,discourage.01,ARG1,entity discouraged
discourage,discourage.01,ARG2,discouraged from
discover,discover.01,ARG0,finder
discover,discover.01,ARG1,"thing found, discovery"
discover,discover.01,ARG2,"benefactive, found for"
discover,discover.01,ARG3,attribute on arg1
discredit,discredit.01,ARG0,causal agent
discredit,discredit.01,ARG1,thing losing prestige
discriminate,discriminate.01,ARG0,"agent, person with keen taste"
discriminate,discriminate.01,ARG1,choices
discriminate,discriminate.02,ARG0,"bigot, agent"
discriminate,discriminate.02,ARG1,victim
discuss,discuss.01,ARG0,discussant
discuss,discuss.01,ARG1,topic
discuss,discuss.01,ARG2,"conversation partner, if explicit"
disdain,disdain.01,ARG0,disdainer
disdain,disdain.01,ARG1,disdained
disembark,disembark.01,ARG0,passenger(s)
disembark,disembark.01,ARG1,vehicle(s)
disenchant,disenchant.01,ARG0,"causer of lack of interest, agent"
disenchant,disenchant.01,ARG1,entity no longer interested
disenchant,disenchant.01,ARG2,interested in what
disengage,disengage.01,ARG0,"remover, agent"
disengage,disengage.01,ARG1,"thing removed, disengaged"
disengage,disengage.01,ARG2,from what
disgorge,disgorge.01,ARG0,disgorger
disgorge,disgorge.01,ARG1,thing removed
disgorge,disgorge.01,ARG2,source
disgruntle,disgruntle.01,ARG0,causer of disgruntlement
disgruntle,disgruntle.01,ARG1,disgruntled entity
disguise,disguise.01,ARG0,"causer of disguise, agent"
disguise,disguise.01,ARG1,entity disguised
disguise,disguise.01,ARG2,attribute
disgust,disgust.01,ARG0,causer
disgust,disgust.01,ARG1,experiencer
dish,dish.01,ARG0,disher
dish,dish.01,ARG1,food
dish_out,dish.02,ARG0,distributor
dish_out,dish.02,ARG1,thing distributed
dish_out,dish.02,ARG2,distributed to
dish_up,dish.03,ARG0,server
dish_up,dish.03,ARG1,thing served
dish_up,dish.03,ARG2,served to
disincline,disincline.01,ARG0,not wanter
disincline,disincline.01,ARG1,action not wanted
disintegrate,disintegrate.01,ARG0,causer of disintegration
disintegrate,disintegrate.01,ARG1,thing disintegating
dislike,dislike.01,ARG0,disliker
dislike,dislike.01,ARG1,object of disaffection
dismantle,dismantle.01,ARG0,"taker apart, agent"
dismantle,dismantle.01,ARG1,entity dismantled
dismay,dismay.01,ARG0,"agent, causer"
dismay,dismay.01,ARG1,entity dismayed
dismay,dismay.01,ARG2,entity dismayed at
dismember,dismember.01,ARG0,"agent, butcher"
dismember,dismember.01,ARG1,victim
dismiss,dismiss.01,ARG0,entity removing
dismiss,dismiss.01,ARG1,thing being removed
dismiss,dismiss.01,ARG2,removed from
dismiss,dismiss.02,ARG0,labeller
dismiss,dismiss.02,ARG1,labelled
dismiss,dismiss.02,ARG2,labelled as
disobey,disobey.01,ARG0,disobeyer
disobey,disobey.01,ARG1,rule or rule-giver
disparage,disparage.01,ARG0,"talker, agent"
disparage,disparage.01,ARG1,victim
dispatch,dispatch.01,ARG0,"sender, agent"
dispatch,dispatch.01,ARG1,entity dispatched
dispatch,dispatch.01,ARG2,dispatched to
dispel,dispel.01,ARG0,"agent, causer"
dispel,dispel.01,ARG1,entity dispelled
dispense,dispense.01,ARG0,"agent, entity causing something to end"
dispense,dispense.01,ARG1,thing ending
dispense,dispense.02,ARG0,dispenser
dispense,dispense.02,ARG1,thing dispensed
dispense,dispense.02,ARG2,dispensed to
disperse,disperse.01,ARG0,"scatterer, agent"
disperse,disperse.01,ARG1,entity dispersed
displace,displace.01,ARG0,mover
displace,displace.01,ARG1,moved
displace,displace.01,ARG2,place
display,display.01,ARG0,"displayer, agent"
display,display.01,ARG1,entity displayed
display,display.01,ARG2,location
displease,displease.01,ARG0,causer
displease,displease.01,ARG1,experiencer
dispose,dispose.01,ARG0,"agent, entity getting rid of something"
dispose,dispose.01,ARG1,thing gotten rid of
dispose,dispose.01,ARG2,"instrument or manner, if separate from agent"
disprove,disprove.01,ARG0,"demonstrator of falseness, agent"
disprove,disprove.01,ARG1,false thing
dispute,dispute.01,ARG0,first arguer
dispute,dispute.01,ARG1,second arguer
dispute,dispute.01,ARG2,topic
disqualify,disqualify.01,ARG0,"declarer, agent"
disqualify,disqualify.01,ARG1,entity disqualified
disqualify,disqualify.01,ARG2,entity disqualified from
disregard,disregard.01,ARG0,entity not paying attention
disregard,disregard.01,ARG1,non-focus
disrupt,disrupt.01,ARG0,"disrupter, agent"
disrupt,disrupt.01,ARG1,entity disrupted
dissatisfy,dissatisfy.01,ARG0,causer of dissatisfaction
dissatisfy,dissatisfy.01,ARG1,dissatisfied party
dissect,dissect.01,ARG0,"mad scientist, agent"
dissect,dissect.01,ARG1,entity dissected
disseminate,disseminate.01,ARG0,"scatterer, agent"
disseminate,disseminate.01,ARG1,thing spread
dissent,dissent.01,ARG0,"disagreer, agent"
dissent,dissent.01,ARG1,"disagreement, dissent from"
dissipate,dissipate.01,ARG0,cause of dissipation
dissipate,dissipate.01,ARG1,thing becoming undense
dissociate,dissociate.01,ARG0,"causer of non-association, agent"
dissociate,dissociate.01,ARG1,thing not associated
dissociate,dissociate.01,ARG2,separated from
dissolve,dissolve.01,ARG0,"causer, agent"
dissolve,dissolve.01,ARG1,thing dissolving
dissolve,dissolve.01,ARG2,"medium, such as water"
dissolve,dissolve.01,ARG3,into components
dissuade,dissuade.01,ARG0,convincer
dissuade,dissuade.01,ARG1,impelled (non)agent
dissuade,dissuade.01,ARG2,impelled (non)action
distance,distance.01,ARG0,causer of distance
distance,distance.01,ARG1,first thing
distance,distance.01,ARG2,second thing
distill,distill.01,ARG0,"remover of impurities, agent"
distill,distill.01,ARG1,impurities
distill,distill.01,ARG2,"source, pure substance"
distinguish,distinguish.01,ARG0,entity causing separation
distinguish,distinguish.01,ARG1,thing(s) being divided
distinguish,distinguish.01,ARG2,"source, separated from, if separate from arg1"
distort,distort.01,ARG0,"alterer, agent"
distort,distort.01,ARG1,thing distorted
distract,distract.01,ARG0,agent or causer
distract,distract.01,ARG1,entity distracted
distract,distract.01,ARG2,entity distracted from
distribute,distribute.01,ARG0,distributor
distribute,distribute.01,ARG1,thing distributed
distribute,distribute.01,ARG2,distributed to
disturb,disturb.01,ARG0,disturber
disturb,disturb.01,ARG1,disturbed
disturb,disturb.01,ARG2,"instrument, if separate from arg0"
dither,dither.01,ARG0,ditherer
dive,dive.01,ARG0,diver
dive,dive.01,ARG1,area
dive,dive.01,ARG2,dive for
dive,dive.02,ARG1,thing falling
dive,dive.02,ARG2,extent
dive,dive.02,ARG3,start point
dive,dive.02,ARG4,end point
diverge,diverge.01,ARG0,entities diverging
diversify,diversify.01,ARGA,causal agent
diversify,diversify.01,ARG0,thing becoming diverse
diversify,diversify.01,ARG1,destination
diversify,diversify.01,ARG2,"source, start point"
divert,divert.01,ARG0,causer of turning
divert,divert.01,ARG1,thing turning
divert,divert.01,ARG2,from
divert,divert.01,ARG3,to
divest,divest.01,ARG0,entity removing
divest,divest.01,ARG1,thing being removed
divest,divest.01,ARG2,removed from
divide,divide.01,ARG0,entity performing calculation
divide,divide.01,ARG1,first operand
divide,divide.01,ARG2,"second operand, divided-by"
divide,divide.02,ARG0,entity causing separation
divide,divide.02,ARG1,thing being divided
divide,divide.02,ARG2,"divided among/between, if separate from arg1"
divorce,divorce.01,ARG0,"initiator of end of marriage, agent"
divorce,divorce.01,ARG1,ex-spouse
divorce,divorce.02,ARG0,"causer of separation, agent"
divorce,divorce.02,ARG1,entity separated
divorce,divorce.02,ARG2,entity separated from
divvy_up,divvy.01,ARG0,"divider, agent"
divvy_up,divvy.01,ARG1,thing divided
divvy_up,divvy.01,ARG2,"portions, recipients"
dizzy,dizzy.01,ARG0,causer of dizziness
dizzy,dizzy.01,ARG1,dizzy entity
do,do.02,ARG0,"agent, doer"
do,do.02,ARG1,thing done
do,do.02,ARG2,"benefactive, done for or about"
do,do.02,ARG3,instrumental
do,do.02,ARG4,"comitative, companion while doing"
do_in,do.03,ARG0,killer
do_in,do.03,ARG1,corpse
doctor,doctor.01,ARG0,"causer of change, agent"
doctor,doctor.01,ARG1,entity doctored
document,document.01,ARG0,"provider of evidence, agent"
document,document.01,ARG1,thing documented
dodge,dodge.01,ARG0,avoider
dodge,dodge.01,ARG1,thing avoided
dog,dog.01,ARG0,thing following and harassing
dog,dog.01,ARG1,thing followed and harassed
dole_out,dole.01,ARG0,distributor
dole_out,dole.01,ARG1,thing distributed
dole_out,dole.01,ARG2,distributed to
dominate,dominate.01,ARG0,surpasser
dominate,dominate.01,ARG1,thing surpassed
don,don.01,ARG0,wearer
don,don.01,ARG1,clothing
donate,donate.01,ARG0,giver
donate,donate.01,ARG1,thing given
donate,donate.01,ARG2,entity given to
doom,doom.01,ARG0,"condemner, agent"
doom,doom.01,ARG1,entity doomed
doom,doom.01,ARG2,doomed to
dot,dot.01,ARG0,who put the dots there
dot,dot.01,ARG1,entity dotted
dot,dot.01,ARG2,dots
double-cross,double-cross.01,ARG0,agent
double-cross,double-cross.01,ARG1,person deceived
double,double.01,ARG0,causer of increase
double,double.01,ARG1,"thing increasing, rising"
double,double.01,ARG2,"EXT, always unmentioned because it's 2x"
double,double.01,ARG3,start point
double,double.01,ARG4,end point
double,double.02,ARG0,actor
double,double.02,ARG1,role
double-cross,doublecross.01,ARG0,"deceiver, agent"
double-cross,doublecross.01,ARG1,person deceived
doubt,doubt.01,ARG0,disbeliever
doubt,doubt.01,ARG1,disbelief
dovetail,dovetail.01,ARG1,thing dovetailing
dovetail,dovetail.01,ARG2,with what
down,down.01,ARG0,causer
down,down.01,ARG1,faller
down,down.02,ARG0,eater
down,down.02,ARG1,eaten
downgrade,downgrade.01,ARG0,replacer
downgrade,downgrade.01,ARG1,old thing
downgrade,downgrade.01,ARG2,new thing
downgrade,downgrade.02,ARG0,"causer of worsening, agent"
downgrade,downgrade.02,ARG1,thing worsening
downgrade,downgrade.02,ARG2,"amount, EXT"
downgrade,downgrade.02,ARG3,start point
downgrade,downgrade.02,ARG4,end point
draft,draft.01,ARG0,"drafter, agent"
draft,draft.01,ARG1,"plan, entity drafted"
draft,draft.01,ARG2,beneficiary
draft,draft.01,ARG3,other participant
drag,drag.01,ARG0,dragger
drag,drag.01,ARG1,thing dragged
drag,drag.01,ARG2,direction
drain,drain.01,ARG0,causative agent
drain,drain.01,ARG1,container
drain,drain.01,ARG2,substance
drape,drape.01,ARG0,draper
drape,drape.01,ARG1,"draped, thing covered"
drape,drape.01,ARG2,"drapes, cloth"
draw,draw.01,ARG0,artist
draw,draw.01,ARG1,art
draw,draw.01,ARG2,benefactive
draw,draw.02,ARG0,puller
draw,draw.02,ARG1,thing pulled
draw,draw.02,ARG2,source
draw,draw.05,ARG0,armed one
draw,draw.05,ARG1,weapon
draw,draw.05,ARG2,adversary
draw_up,draw.03,ARG0,artist
draw_up,draw.03,ARG1,thing drawn
draw_up,draw.03,ARG2,benefactive
draw_up,draw.04,ARG1,entity in motion
dread,dread.01,ARG0,afraid entity
dread,dread.01,ARG1,what you're afraid of
dream,dream.01,ARG0,dreamer
dream,dream.01,ARG1,dream
dream_up,dream.02,ARG0,dreamer
dream_up,dream.02,ARG1,thing dreamed up
dream_on,dream.03,ARG0,dreamer
dress,dress.01,ARG0,person putting on clothes
dress,dress.01,ARG1,person wearing clothes
dress,dress.01,ARG2,attribute
dress_up,dress.02,ARG0,entity putting on clothes
dress_up,dress.02,ARG1,"entity dressed up, decorated, wearing clothes"
dress_down,dress.03,ARG0,"angry entity, agent"
dress_down,dress.03,ARG1,entity dressed down
dress_down,dress.03,ARG2,dress down for
drift,drift.01,ARG1,object in motion
drill,drill.01,ARG0,"driller, agent"
drill,drill.01,ARG1,"thing drilled, gaining holes"
drill,drill.01,ARG2,drill
drill,drill.01,ARG3,seeking (oil)
drill,drill.01,ARG4,holes
drill,drill.02,ARG0,drill sargeant
drill,drill.02,ARG1,recruits
drill,drill.02,ARG2,action
drink,drink.01,ARG0,drinker
drink,drink.01,ARG1,liquid
drink,drink.01,ARG2,source of liquid
drink,drink.02,ARG0,drinker
drink,drink.02,ARG1,thing saluted
drip,drip.01,ARG0,causal agent
drip,drip.01,ARG1,"thing dripping, liquid"
drip,drip.01,ARG2,source
drip,drip.01,ARG3,destination
drip,drip.02,ARG1,thing dripping
drip,drip.02,ARG2,descriptor
drive,drive.01,ARG0,driver
drive,drive.01,ARG1,vehicle or path
drive,drive.02,ARG0,driver
drive,drive.02,ARG1,thing in motion
drive,drive.02,ARG2,secondary predication on arg1
drool,drool.01,ARG0,drooler
drool,drool.01,ARG1,drool (cognate object)
drool,drool.01,ARG2,destination of drool
drool,drool.02,ARG0,drooler
drool,drool.02,ARG1,thing lusted after
drop,drop.01,ARG0,entity doing the dropping
drop,drop.01,ARG1,"Logical subject, patient, thing falling"
drop,drop.01,ARG2,"EXT, amount fallen"
drop,drop.01,ARG3,start point
drop,drop.01,ARG4,"end point, end state of arg1"
drop,drop.01,ARGM,medium
drop,drop.05,ARG0,remover
drop,drop.05,ARG1,removed
drop,drop.05,ARG2,source
drop,drop.06,ARG0,sycophant
drop,drop.06,ARG1,names
drop,drop.07,ARG0,big spender
drop,drop.07,ARG1,amount of money
drop,drop.07,ARG2,commodity
drop_by,drop.02,ARG1,entity in motion / 'comer'
drop_by,drop.02,ARG2,extent -- rare)
drop_by,drop.02,ARG3,start point -- also rare)
drop_by,drop.02,ARG4,end point
drop_off,drop.03,ARG0,entity doing the dropping
drop_off,drop.03,ARG1,"Logical subject, patient, thing falling"
drop_off,drop.03,ARG2,"EXT, amount fallen"
drop_off,drop.03,ARG4,"end point, end state"
drop_off,drop.03,ARGM,medium
drop_out,drop.04,ARG0,quitter
drop_out,drop.04,ARG1,thing quit (usually of-phrase)
drown,drown.01,ARG0,entity covering
drown,drown.01,ARG1,entity covered
drown,drown.02,ARG0,killer
drown,drown.02,ARG1,person drowned
drown_out,drown.03,ARG0,a louder sound
drown_out,drown.03,ARG1,an imperceptible sound
drum_up,drum.01,ARG0,"gatherer, agent"
drum_up,drum.01,ARG1,thing brought about
dry_up,dry.01,ARG0,"entity causing unproductivity, agent"
dry_up,dry.01,ARG1,entity dried up
dub,dub.01,ARG0,"assigner of name, agent"
dub,dub.01,ARG1,thing named
dub,dub.01,ARG2,name
duck,duck.01,ARG0,evader
duck,duck.01,ARG1,responsibility
dull,dull.01,ARG0,causer of dullness
dull,dull.01,ARG1,thing getting dull
dump,dump.01,ARG0,"agent, entity getting rid of something"
dump,dump.01,ARG1,thing gotten rid of
dump,dump.01,ARG2,"instrument or manner, if separate from agent"
dupe,dupe.01,ARG0,tricker
dupe,dupe.01,ARG1,tricked
dupe,dupe.01,ARG2,"trick, induced action"
duplicate,duplicate.01,ARG0,"copyist, agent"
duplicate,duplicate.01,ARG1,original
dust,dust.01,ARG0,"agent, sprinkler"
dust,dust.01,ARG1,dustlike substance
dust,dust.01,ARG2,sprinkled-upon
dust,dust.02,ARG0,"remover of dust, agent"
dust,dust.02,ARG1,surface
dust_off,dust.03,ARG0,agent
dust_off,dust.03,ARG1,surface
dwarf,dwarf.01,ARG0,larger thing
dwarf,dwarf.01,ARG1,smaller thing
dwindle,dwindle.01,ARG1,thing becoming less
dwindle,dwindle.01,ARG2,EXT or MNR
dwindle,dwindle.01,ARG3,start point
dwindle,dwindle.01,ARG4,end point
dye,dye.01,ARG0,causer of coloration
dye,dye.01,ARG1,thing with color
dye,dye.01,ARG2,the color itself
earmark,earmark.01,ARG0,"setter aside, agent"
earmark,earmark.01,ARG1,entity earmarked
earmark,earmark.01,ARG2,earmarked for
earn,earn.01,ARG0,earner
earn,earn.01,ARG1,wages
earn,earn.01,ARG2,benefactive
earn,earn.01,ARG3,source
ease,ease.01,ARG1,"Logical subject, patient, thing declining"
ease,ease.01,ARG2,"EXT, amount declined by"
ease,ease.01,ARG3,start point
ease,ease.01,ARG4,"end point, end state"
ease,ease.01,ARGM,medium
ease,ease.02,ARG0,thing helping
ease,ease.02,ARG1,thing being helped
ease,ease.03,ARG0,"causer of motion, agent"
ease,ease.03,ARG1,entity in motion
ease,ease.03,ARG3,start point
ease,ease.03,ARG4,end point
ease_up,ease.04,ARG0,thing helping
ease_up,ease.04,ARG1,thing being helped
eat,eat.01,ARG0,"consumer, eater"
eat,eat.01,ARG1,meal
eat_up,eat.02,ARG0,"consumer, eater"
eat_up,eat.02,ARG1,meal
eat_away,eat.03,ARG0,"consumer, eater"
eat_away,eat.03,ARG1,meal
eavesdrop,eavesdrop.01,ARG0,listener
eavesdrop,eavesdrop.01,ARG1,listened-to
ebb,ebb.01,ARG1,thing getting smaller
echo,echo.01,ARG0,"repeater, imitator"
echo,echo.01,ARG1,original
eclipse,eclipse.01,ARG0,eclipser
eclipse,eclipse.01,ARG1,eclipsed
economize,economize.01,ARG0,"entity strapped for cash, agent"
economize,economize.01,ARG1,domain of expenditures
edge,edge.01,ARG1,"Logical subject, patient, thing moving"
edge,edge.01,ARG2,"EXT, amount moved"
edge,edge.01,ARG3,start point
edge,edge.01,ARG4,end point
edge,edge.01,ARGM,medium
edge,edge.01,ARG5,direction--REQUIRED
edge_out,edge.02,ARG0,winner
edge_out,edge.02,ARG1,loser
edge_out,edge.02,ARG2,"for what, prize"
edit,edit.01,ARG0,editor
edit,edit.01,ARG1,text
educate,educate.01,ARG0,teacher
educate,educate.01,ARG1,student(s)
educate,educate.01,ARG2,subject
effect,effect.01,ARG0,cause
effect,effect.01,ARG1,"effect, usually a change"
eject,eject.01,ARG0,"thrower out, agent"
eject,eject.01,ARG1,thing thrown
eject,eject.01,ARG2,ejected from
elaborate,elaborate.01,ARG0,speaker
elaborate,elaborate.01,ARG1,subject gone into detail on
elapse,elapse.01,ARG1,time gone by
elect,elect.01,ARG0,voters
elect,elect.01,ARG1,candidate
elect,elect.01,ARG2,office or position
electrify,electrify.01,ARG0,"entity adding electricity, agent"
electrify,electrify.01,ARG1,electrified entity
elevate,elevate.01,ARG0,"causer of upward motion, agent"
elevate,elevate.01,ARG1,entity elevated
elevate,elevate.01,ARG2,endpoint
eliminate,eliminate.01,ARG0,entity removing
eliminate,eliminate.01,ARG1,thing being removed
eliminate,eliminate.01,ARG2,removed from
elongate,elongate.01,ARG0,"causer, agent"
elongate,elongate.01,ARG1,thing getting longer
elude,elude.01,ARG0,avoider
elude,elude.01,ARG1,thing avoided
emasculate,emasculate.01,ARG0,"causer, agent"
emasculate,emasculate.01,ARG1,entity emasculated
embargo,embargo.01,ARG0,blocker
embargo,embargo.01,ARG1,foiled (destination of) trade
embark,embark.01,ARG0,beginner
embark,embark.01,ARG1,thing begun
embarrass,embarrass.01,ARG0,causer of shame
embarrass,embarrass.01,ARG1,embarrassed entity
embarrass,embarrass.01,ARG2,"instrument, if separate from arg0"
embed,embed.01,ARG0,"causer, agent"
embed,embed.01,ARG1,entity embedded
embed,embed.01,ARG2,embedded into
embellish,embellish.01,ARG0,"decorator, agent"
embellish,embellish.01,ARG1,"thing decorated, embellished"
embellish,embellish.01,ARG2,with what
embezzle,embezzle.01,ARG0,"thief, embezzler"
embezzle,embezzle.01,ARG1,money
embezzle,embezzle.01,ARG2,source
embody,embody.01,ARG1,entity embodied
embody,embody.01,ARG2,embodied in
embolden,embolden.01,ARG0,thing causing boldness
embolden,embolden.01,ARG1,thing becoming bold
embolden,embolden.01,ARG2,instrument
embrace,embrace.01,ARG0,"includer, agent"
embrace,embrace.01,ARG1,entity embraced
embrace,embrace.01,ARG2,embraced as
embrace,embrace.02,ARG0,hugger
embrace,embrace.02,ARG1,person hugged
embroil,embroil.01,ARG0,"causer of contention, agent (rare)"
embroil,embroil.01,ARG1,thing involved in contention
embroil,embroil.01,ARG2,contention
emerge,emerge.01,ARG0,thing exiting
emerge,emerge.01,ARG1,thing/place exited from
emerge,emerge.02,ARG0,thing emerging
emerge,emerge.02,ARG1,as what
emigrate,emigrate.01,ARG0,population
emigrate,emigrate.01,ARG1,source
emigrate,emigrate.01,ARG2,destination
emit,emit.01,ARG0,emitting entity
emit,emit.01,ARG1,thing emitted
emote,emote.01,ARG0,expresser
empathize,empathize.01,ARG0,empathizer
empathize,empathize.01,ARG1,empathized with
emphasize,emphasize.01,ARG0,emphasizer
emphasize,emphasize.01,ARG1,utterance
emphasize,emphasize.01,ARG2,hearer
employ,employ.01,ARG0,employer
employ,employ.01,ARG1,employee
employ,employ.01,ARG2,job
employ,employ.02,ARG0,user
employ,employ.02,ARG1,used
employ,employ.02,ARG2,"job, purpose"
empower,empower.01,ARG0,giver of power
empower,empower.01,ARG1,empowered entity
empower,empower.01,ARG2,use of power
